"Year","State Name","avg_maize_yield"
"1987","Rajasthan","310.72"
"1987","Tamil Nadu","1189.39"
"1987","Telangana","1537.80"
"1987","Uttar Pradesh","758.44"
"1987","Uttarakhand","928.68"
"1987","West Bengal","1315.11"
"1988","Andhra Pradesh","1925.66"
"1988","Assam","566.35"
"1988","Bihar","1537.40"
"1988","Chhattisgarh","1238.84"
"1988","Gujarat","1086.65"
"1988","Haryana","727.27"
"1988","Himachal Pradesh","1514.95"
"1988","Jharkhand","797.08"
"1988","Karnataka","2347.68"
"1988","Kerala","0.00"
"1988","Madhya Pradesh","1268.12"
"1988","Maharashtra","805.59"
"1988","Orissa","1214.38"
"1988","Punjab","1042.04"
"1988","Rajasthan","929.22"
"1988","Tamil Nadu","1070.17"
"1988","Telangana","1669.82"
"1988","Uttar Pradesh","863.34"
"1988","Uttarakhand","1145.40"
"1988","West Bengal","1331.14"
"1989","Andhra Pradesh","2471.18"
"1989","Assam","576.27"
"1989","Bihar","1659.57"
"1989","Chhattisgarh","1428.58"
"1989","Gujarat","1340.55"
"1989","Haryana","876.62"
"1989","Himachal Pradesh","2013.03"
"1989","Jharkhand","1414.94"
"1989","Karnataka","2655.80"
"1989","Kerala","0.00"
"1989","Madhya Pradesh","1445.99"
"1989","Maharashtra","813.34"
"1989","Orissa","1082.74"
"1989","Punjab","1801.82"
"1989","Rajasthan","891.94"
"1989","Tamil Nadu","1046.03"
"1989","Telangana","2219.00"
"1989","Uttar Pradesh","1149.53"
"1989","Uttarakhand","1201.74"
"1989","West Bengal","1074.81"
"1990","Andhra Pradesh","1911.11"
"1990","Assam","582.01"
"1990","Bihar","1525.03"
"1990","Chhattisgarh","1085.61"
"1990","Gujarat","1040.23"
"1990","Haryana","955.09"
"1990","Himachal Pradesh","2233.85"
"1990","Jharkhand","908.23"
"1990","Karnataka","2174.88"
"1990","Kerala","0.00"
"1990","Madhya Pradesh","1194.40"
"1990","Maharashtra","881.44"
"1990","Orissa","1164.30"
"1990","Punjab","1798.20"
"1990","Rajasthan","1165.14"
"1990","Tamil Nadu","1256.63"
"1990","Telangana","2002.07"
"1990","Uttar Pradesh","1075.17"
"1990","Uttarakhand","1260.69"
"1990","West Bengal","953.56"
"1991","Andhra Pradesh","2074.87"
"1991","Assam","576.48"
"1991","Bihar","1815.13"
"1991","Chhattisgarh","1159.44"
"1991","Gujarat","768.49"
"1991","Haryana","1069.56"
"1991","Himachal Pradesh","1874.87"
"1991","Jharkhand","1068.86"
"1991","Karnataka","2822.86"
"1991","Kerala","0.00"
